actual,pred_lr,pred_rf
6691409,18606171.34224296,6994137.2
1025577,-5445326.953471767,1035562.12
455165,-329493.031113822,432780.24
80594,-241730.7651733756,80759.63
1640982,-3163158.5634112377,1720880.11
23799788,37492278.253248945,23271555.0
11645849,16734478.897905413,11825327.27
7892729,5287799.462360531,6420521.7
2638034,-1079620.02340658,2738943.4
20632907,24668555.036938366,21369587.88
78647,-361198.468061585,78857.3
253164,3148890.241000425,253103.01
18067365,32179856.682054047,16153010.66
6473354,4565904.187578402,6332086.66
23776433,32267678.688890804,23918887.6
403645089,363021114.30827355,325363112.67
236083,316489.2456169538,236054.29
66171892,55975269.92573376,59331570.92
18011031,28114394.85269771,19686090.42
50995955,29173736.230816115,30364007.67
1685277,-1762219.0370992199,1737975.87
1031129,-4100148.653136093,975851.48
33107405,27578680.115990404,32169159.53
99380590,122235749.59790531,115346064.16
312691,-1232329.1057289056,312632.59
27800753,56264209.02611461,28375296.76
9698824,39141668.578536555,10641900.36
234182,-9501559.226078777,227108.37
234636216,225774081.91030106,285891825.41
41048708,41714228.70254113,40615642.94
257357,-557489.679911051,257361.7
617377,-2699025.864735272,599332.72
4773860,685505.3753131963,4647751.83
2278265,-2883258.0523607004,2490494.87
1267630,-4829295.630554017,1244664.84
99963,530816.5445258655,99715.27
123761624,147276048.28209102,118980559.24
3719569,-869240.5621894374,3843086.95
3509551,1482189.217526529,3699024.44
8729409,13002708.026786141,9190357.05
331233,-6022688.080092432,331299.57
28620933,28643063.013879877,26366389.72
306110,-2781010.2984804492,306142.23
4224917,-197269.55516232178,3628302.63
89798695,110339407.8240764,85294474.1
281485,-1127388.5890970528,281403.5
278141,-1188204.263930291,278124.48
1621637,-3584693.6018276196,1720232.56
33543719,33574444.652276605,23196309.83
16323512,27595698.913299922,12563516.27
610672,-4049511.0665017776,606290.32
162239,-3536503.623819409,156866.67
5336733,1253714.552932512,5391499.48
514436,-1746928.2340309136,527643.55
119331204,127191821.00150478,99392479.0
29055414,34791797.32741144,37988843.96
4819526,3746600.432944145,4741072.26
17115152,23495570.01024432,27123603.44
1545259,-3184322.971906405,2060389.44
9726936,11472190.317810092,10174256.53
314716,-4137551.6066223923,314818.67
705454,-2483966.664007688,737860.6
18709432,16962261.121368524,20670326.48
4559540,8680665.379151028,4175586.15
