actual,pred_lr,proba_lr,pred_rf,proba_rf
0,0,0.4709003977341439,0,0.0
0,0,0.40029141271718605,0,0.0
0,0,0.4442038144624426,0,0.0
0,0,0.4777948762160688,0,0.0
0,0,0.45376479669404785,0,0.0
0,1,0.6529291333427408,0,0.1
0,1,0.676159168075137,1,0.88
0,0,0.46483828626169044,0,0.0
0,0,0.4312546616045881,0,0.0
0,0,0.3852307237359823,0,0.0
0,0,0.4886699815241959,0,0.0
0,0,0.4328304585525365,0,0.0
0,0,0.4735251361490567,0,0.0
0,0,0.4870501495134862,0,0.0
0,0,0.4196771090449443,0,0.0
0,0,0.40086838560163146,0,0.0
0,0,0.4390112412610869,0,0.0
0,0,0.4631819897866963,0,0.0
0,0,0.4428068649521414,0,0.0
0,0,0.47533331654401456,0,0.0
1,0,0.4241207530082833,0,0.02
0,0,0.4400439081403992,0,0.0
0,0,0.4189077134819788,0,0.0
0,0,0.3959736834108059,0,0.0
0,0,0.2944868366169529,0,0.18
0,0,0.43952260290671685,0,0.0
0,0,0.43066379973839597,0,0.0
0,0,0.35052040895730074,0,0.09
0,0,0.43276001590565183,0,0.0
0,0,0.4664860324985566,0,0.0
1,0,0.10533821619335991,1,0.99
0,1,0.5193679567542866,0,0.38
0,0,0.43647381834640736,0,0.0
0,0,0.3356836960167512,0,0.13
0,0,0.42438676998084024,0,0.0
0,0,0.4278459328038069,0,0.0
0,1,0.5224529807251245,0,0.01
0,0,0.43851233189321454,0,0.0
0,0,0.4576903516634808,0,0.0
0,0,0.4068289363595342,0,0.0
0,0,0.38777169476931095,0,0.0
0,0,0.47148086639149017,0,0.0
1,0,0.44528427477309096,0,0.0
0,0,0.3910908347398208,0,0.0
0,0,0.4416005458081304,0,0.0
0,0,0.46528581929489155,0,0.0
1,0,0.18031313670627694,1,0.82
0,0,0.43580325584421253,0,0.0
0,0,0.3809667853084671,0,0.0
0,0,0.434540185009837,0,0.15
0,0,0.42640417567281774,0,0.0
1,1,0.8174781089789406,1,1.0
0,0,0.4558858554359234,0,0.0
0,0,0.42586757964084776,0,0.0
0,0,0.45704149658241755,0,0.0
0,0,0.42546107204656464,0,0.05
0,0,0.39475446322957297,0,0.0
0,0,0.47913386570919186,0,0.01
0,0,0.4636343549283819,0,0.0
0,0,0.38177112802718416,0,0.0
0,0,0.43804168077383104,0,0.0
0,1,0.5915490793745659,0,0.01
0,0,0.411898832726338,0,0.0
0,0,0.4768384742911972,0,0.0
0,0,0.4524965035563749,0,0.0
0,0,0.49429253208549184,0,0.01
0,0,0.4421620060472334,0,0.0
0,0,0.4764184087184291,0,0.0
0,0,0.28621328702042065,0,0.06
0,0,0.41795245063403896,0,0.0
0,1,0.6010571094026682,0,0.28
0,0,0.30817285490450663,0,0.02
0,0,0.43291455212913255,0,0.0
0,0,0.42588768050244763,0,0.0
0,0,0.41265648220108014,0,0.0
0,1,0.6286535212352276,0,0.42
0,0,0.43299605099648547,0,0.0
0,0,0.4114676030188567,0,0.17
1,0,0.3751630954424749,1,0.9
0,0,0.16844466980788966,0,0.21
0,0,0.4412940287810498,0,0.0
0,0,0.4429349790601867,0,0.0
0,0,0.4806225211266301,0,0.0
0,0,0.4097855074508008,0,0.0
1,0,0.14201235551676877,1,0.68
0,0,0.2399691755915676,1,0.76
1,0,0.30695052686470087,0,0.41
0,0,0.36110192819749093,0,0.19
0,0,0.4692361451813015,0,0.0
0,0,0.48109019266954556,0,0.0
0,0,0.43939982277369216,0,0.0
1,0,0.140850495849707,0,0.19
0,0,0.4095593382448776,0,0.0
1,0,0.2170000218790469,1,0.79
1,1,0.9686826207082648,1,0.75
0,0,0.44345230865529395,0,0.0
0,1,0.5049419524696727,0,0.15
1,0,0.1882814739677718,1,0.52
1,0,0.475866161842169,0,0.36
0,0,0.36407796188463126,0,0.0
0,0,0.38471612522874976,0,0.0
0,0,0.46055222188123085,0,0.01
1,0,0.3057018394333704,1,0.81
0,0,0.42534335888539304,0,0.0
1,0,0.0699235524270248,1,0.95
1,0,0.06574090068655951,1,0.73
0,0,0.467000932435435,0,0.0
1,1,0.7460511986436525,1,1.0
0,0,0.4884146531434621,0,0.01
0,0,0.438406241645093,0,0.0
0,0,0.4116670181490395,0,0.0
0,0,0.3835806627579978,0,0.0
0,0,0.3781486200436878,0,0.01
0,0,0.38958735868164734,0,0.0
0,0,0.47597204762741757,0,0.0
0,1,0.6931479284887572,0,0.05
0,0,0.39353508327829817,0,0.0
0,0,0.32557724924326964,0,0.05
0,0,0.25655974403647575,1,0.62
0,0,0.42098836855301786,0,0.0
1,0,0.253174850257673,1,0.57
0,0,0.42689187600016976,0,0.0
0,0,0.382026814326223,0,0.0
1,1,0.6016590944540259,0,0.25
0,0,0.43269865674577435,0,0.0
0,0,0.43348866464372854,0,0.0
0,0,0.398919677493742,0,0.0
0,0,0.19664475802640596,1,0.78
0,0,0.48980557588708545,0,0.0
0,0,0.409544510930758,0,0.0
0,0,0.4803022196943846,0,0.0
0,0,0.3873736278471746,0,0.0
0,0,0.4307706478532317,0,0.0
0,1,0.6840412814073156,0,0.05
0,0,0.424624170393743,0,0.0
0,0,0.4036076735390564,0,0.0
0,0,0.4260532960279561,0,0.03
0,0,0.4269280189618235,0,0.0
0,0,0.26957319628770066,1,0.67
0,0,0.4248671670683112,0,0.0
0,0,0.4691704018086266,0,0.0
0,0,0.3794208206749317,0,0.06
0,0,0.4749390615037804,0,0.0
0,0,0.4396043814273674,0,0.0
0,1,0.5837016791543596,0,0.19
0,0,0.4512652685567364,0,0.0
0,0,0.2289384429081954,0,0.07
0,1,0.5127264548685018,0,0.02
0,0,0.34548548446483285,0,0.0
1,1,0.6594255235707043,1,1.0
1,1,0.7120610718966267,1,1.0
0,1,0.5316908467238141,0,0.05
0,0,0.4375227885568897,0,0.0
0,0,0.48962626536201237,0,0.13
0,0,0.3820299104611701,0,0.0
0,0,0.4397461243123644,0,0.0
0,0,0.4305865902376709,0,0.0
0,0,0.3976007039369242,0,0.01
0,0,0.41113747586257415,0,0.0
0,0,0.45570387074458313,0,0.0
0,1,0.5034759967708549,0,0.0
0,1,0.5159042082796358,0,0.37
0,0,0.4606779965011367,0,0.0
0,0,0.39406056222462116,0,0.0
0,0,0.44544468849652513,0,0.0
1,0,0.2525793743829779,1,0.59
0,0,0.3972329238453422,0,0.0
0,0,0.3855719443314511,0,0.0
0,0,0.46453374196864133,0,0.0
0,1,0.5393426394122027,0,0.1
0,0,0.4666530175542259,0,0.0
0,0,0.3834794717464457,0,0.0
0,0,0.4787159872108778,0,0.0
0,0,0.23855505095786336,0,0.06
0,0,0.44832776769611193,0,0.0
0,0,0.3868432869485482,0,0.0
0,0,0.4105855457201391,0,0.0
0,0,0.4578811230141538,0,0.0
0,0,0.36431653787420426,0,0.02
1,0,0.11414863038630772,1,0.84
0,0,0.34740065111344226,0,0.0
0,0,0.4319064411896672,0,0.0
0,0,0.497572994799813,0,0.16
0,0,0.48427060462603466,0,0.0
0,0,0.44430406627946895,0,0.0
0,0,0.4138148867096072,0,0.0
0,0,0.4786940740696234,0,0.0
0,0,0.43855789217444135,0,0.0
1,0,0.2885965190434316,1,0.63
0,0,0.4237584995126415,0,0.0
0,0,0.4229231748661288,0,0.0
0,0,0.42463376132178854,0,0.0
1,0,0.28963239611087893,0,0.33
0,0,0.4490295295990284,0,0.04
0,0,0.38795094705649386,0,0.0
0,0,0.43131626033744086,0,0.0
0,0,0.39353295267688904,0,0.0
0,0,0.32146657968714726,0,0.02
0,0,0.47458696628621655,0,0.0
0,0,0.4395894477135173,0,0.0
0,0,0.44938550041151715,0,0.0
0,0,0.45327732226245665,0,0.0
0,0,0.4300568617674447,0,0.0
1,0,0.2657882452012468,1,1.0
0,1,0.5308834705361937,0,0.01
0,0,0.4323562055908556,0,0.0
0,0,0.4835102493847963,0,0.0
0,0,0.4052362821008953,0,0.0
0,0,0.4726092754508307,0,0.0
0,0,0.3474081170801685,0,0.0
1,1,0.6324143509741154,1,0.64
0,1,0.51526950689846,0,0.11
0,0,0.4639528151317086,0,0.0
1,0,0.2498130159825415,0,0.45
0,0,0.48082908993502615,0,0.0
0,0,0.4333629588458399,0,0.0
0,0,0.3608487958756629,0,0.0
0,0,0.3235538912421272,0,0.0
0,0,0.4699142480892043,0,0.0
0,0,0.4227229117107342,0,0.05
0,0,0.4473218989848299,0,0.0
1,0,0.22770970844148924,1,0.58
0,0,0.4852484321298826,0,0.03
0,0,0.4782217831961971,0,0.0
0,0,0.4263274631075018,0,0.0
0,0,0.327794921457538,0,0.29
0,0,0.46039719773087107,0,0.0
0,1,0.7687151363181969,0,0.11
0,0,0.4383320502303712,0,0.0
0,0,0.4891859089505456,0,0.0
0,0,0.4288877842930983,0,0.0
0,0,0.4345508878569708,0,0.0
0,0,0.31425413136884195,0,0.17
0,0,0.2991723312195871,0,0.05
0,0,0.47666999498955054,0,0.01
0,0,0.4611081199727841,0,0.0
0,0,0.4123028586167793,0,0.0
1,1,0.6652997361582677,1,0.96
0,0,0.4521183830139282,0,0.0
0,0,0.3507603172086598,0,0.0
0,0,0.39320150439744167,0,0.0
0,0,0.41088818774942554,0,0.0
0,0,0.43484952521342146,0,0.0
0,0,0.49180890812960465,0,0.0
0,0,0.4769460505581802,0,0.0
0,1,0.7587769887099935,0,0.1
0,0,0.4127360807041231,0,0.0
0,0,0.41735981324489896,0,0.0
0,0,0.3795611006157132,0,0.0
1,0,0.3167738352881259,0,0.09
