Artist Name,avg_days_on_chart,avg_peak_streams,total_streams,cluster
Baby Tate ,4.0,222606.5,1746364,1
Backstreet Boys ,2.0,276423.25,2150881,1
Bad Bunny ,74.63529411764706,906120.6470588235,2789775409,3
Bahari ,1.0,60039.0,60039,1
Bailey Zimmerman ,126.66666666666667,554402.6666666666,135293249,2
Baka Not Nice ,4.0,218549.0,790157,1
Band Aid ,204.0,2071624.0,96606504,0
Banda MS de Sergio Lizárraga ,7.0,310928.0,1754451,1
Bankrol Hayden ,7.666666666666667,259870.33333333334,5060746,1
Bankroll Fresh ,6.0,113317.0,620415,1
Bas ,7.666666666666667,417945.6666666667,7140844,1
Bass Santana ,1.6666666666666667,293504.6666666667,1496839,1
Bastille ,65.0,172442.8,32462752,1
Baxuz ,2.0,265334.0,505530,1
Bazzi ,84.82352941176471,441591.64705882355,544247268,1
Bea Miller ,14.666666666666666,146442.0,10181936,1
Beach Bunny ,106.0,418533.0,31676799,2
Beach House ,549.0,434347.0,151348745,2
Beach Weather ,112.0,377646.0,35092006,2
Bebe Rexha ,89.05882352941177,303046.76470588235,477607443,1
Beck ,2.8,121876.93333333333,4438800,1
Becky G ,66.375,265256.875,129098525,1
Bee Gees ,1.75,205699.75,1437047,1
Bella Poarch ,98.0,627884.0,38791472,2
Belly ,19.428571428571427,351976.0,21787123,1
Ben Howard ,1.0,184436.0,184436,1
Ben Platt ,2.0,232416.0,432626,1
Ben Rector ,1.0,250670.0,250670,1
Benjamin Francis Leftwich ,1.0,87145.0,87145,1
Benny The Butcher ,5.0,353771.5,3215335,1
Benson Boone ,32.0,438823.0,18434383,1
Best Coast ,1.0,80077.0,80077,1
Beyoncé ,31.36,637106.58,380421448,1
Bhad Bhabie ,7.0,206900.0,2910169,1
Big Gigantic ,7.0,140515.0,915094,1
Big Grams ,1.0,104003.5,208007,1
Big Red Machine ,8.0,677688.0,2624599,1
Big Sean ,44.016129032258064,429590.06451612903,721018644,1
Big Shaq ,49.0,318934.0,11375957,1
Bill Withers ,3.3333333333333335,371391.0,3259958,1
Billie Eilish ,172.58695652173913,1141203.6739130435,3119498389,3
Billy Currington ,75.33333333333333,177996.0,31514957,1
Billy Joel ,1.0,227902.0,227902,1
Bing Crosby ,36.4,885700.28,386738856,0
Birdy ,3.5,98185.5,523376,1
Bishop Briggs ,1.0,144143.0,144143,1
Biz Markie ,1.0,315828.0,315828,1
Bizarrap ,135.0,517445.0,50396055,2
Black Eyed Peas ,52.0,262564.6,67924680,1
Blackstreet ,4.0,164827.0,460976,1
Blake Shelton ,39.9,164158.9,62691892,1
Blanco Brown ,117.0,521344.0,42118089,2
Bleachers ,1.0,222412.5,444825,1
BlocBoy JB ,261.5,1084444.5,323528027,2
Blue Öyster Cult ,15.0,519922.0,4723676,1
Blueface ,57.625,447819.0,179850051,1
Blvckengineer ,1.0,216962.66666666666,650888,1
Blxst ,86.0,262591.0,19413867,1
Bo Burnham ,19.0,323382.64705882355,91696377,1
"Bobby ""Boris"" Pickett ",7.0,313452.0,1562118,1
"Bobby ""Boris"" Pickett & The Crypt",26.0,1521957.0,12978123,0
Bobby Helms ,335.0,4516839.0,235335220,0
Bobby McFerrin ,1.0,151239.0,151239,1
Bobby Shmurda ,114.5,324231.0,35657983,2
Bon Iver ,4.466666666666667,233828.4,11009648,1
Bonnie Tyler ,1.0,302026.0,302026,1
Bow Wow Wow ,2.0,353873.0,617604,1
BoyWithUke ,96.0,449257.5,56937212,2
Bradley Cooper ,1.0,196709.0,196709,1
Brandon Shinin ,1.0,210772.0,210772,1
Brantley Gilbert ,12.333333333333334,115765.0,3585227,1
Brenda Lee ,122.0,2004566.6666666667,279840278,0
Brent Faiyaz ,22.36,579827.16,169905829,1
Brett Eldredge ,31.0,308896.77777777775,56219224,1
Brett Young ,67.6,208305.8,69143286,1
Bring Me The Horizon ,3.6,216631.3,7962217,1
Britney Spears ,21.11111111111111,353364.0,52774310,1
Brittany Howard ,3.0,467036.0,932878,1
Brothers Osborne ,1.0,88502.0,88502,1
Bruce Springsteen ,40.333333333333336,851324.6666666666,49799738,1
Bruno Major ,10.0,269545.0,2425335,1
Bruno Mars ,91.3076923076923,629005.2307692308,899815648,2
Bryan Adams ,3.0,286293.0,741660,1
Bryce Vine ,97.0,438555.5,61588738,2
Bryson Tiller ,68.25,410745.65,620321252,1
Buffalo Springfield ,1.0,80431.0,80431,1
Burl Ives ,108.0,1686368.25,216981252,0
Busta Rhymes ,4.0,517285.0,1277119,1
BØRNS ,246.33333333333334,240022.66666666666,185276766,2
CAZZETTE ,35.0,118445.5,5331172,1
CHVRCHES ,2.111111111111111,142188.11111111112,2071119,1
CJ ,230.0,834077.0,111327394,2
CKay ,116.0,389700.5,71793190,2
CNCO ,84.0,237572.0,16196903,1
CORPSE ,43.0,404109.0,48892460,1
Cafuné ,74.0,360339.0,20905806,1
Cage The Elephant ,209.5,245084.0,97423186,2
Calboy ,440.0,669228.0,164149940,2
Calum Scott ,1.0,198073.0,198073,1
Calvin Harris ,76.5,468143.8823529412,870691709,1
Cam ,62.0,110131.0,5705652,1
